ID,BOLSISTA,SINALIZADOR_INGRESSANTE,ANOS_PM,ANO_PESQUISA,INDE,IAA,IEG,IPS,IDA,IPP,IPV,IAN,INSTITUICAO_ENSINO_ALUNO,FASE,TURMA,PEDRA,PONTO_VIRADA
183,0,0,2,2020,7.863,9.0,10.0,8.125,10.0,2.5,7.0,5.0,Escola Pública,0,E,Ametista,0
184,0,0,2,2020,8.257,10.0,8.3,7.5,7.5,7.917,7.778,10.0,Escola Pública,1,H,Ametista,0
186,0,1,0,2020,6.314,8.75,5.8,7.5,5.667,8.125,6.667,2.5,Escola Pública,3,J,Ágata,0
187,0,1,0,2020,6.414,8.5,8.0,7.5,0.0,7.917,7.111,10.0,Escola Pública,2,G,Ágata,0
188,0,0,2,2020,7.744,7.083,4.7,7.5,9.0,8.125,8.667,10.0,Escola Pública,3,C,Ametista,1
189,0,1,0,2020,7.256,8.0,8.3,5.0,8.0,7.292,7.333,5.0,Escola Pública,1,C,Ágata,0
190,1,0,3,2020,8.734,8.333,9.2,6.875,7.667,9.062,9.667,10.0,Rede Decisão/União,7,B,Topázio,1
192,0,0,2,2020,4.855,7.417,5.1,5.0,0.0,6.042,7.444,5.0,Escola Pública,1,H,Quartzo,0
193,0,0,4,2020,8.539,10.0,9.8,5.0,7.0,8.125,9.333,10.0,Escola Pública,3,F,Topázio,1
194,1,0,3,2020,7.121,8.333,8.3,6.875,6.333,7.656,7.042,5.0,Rede Decisão/União,6,A,Ágata,0
197,0,0,1,2020,8.833,8.333,9.6,7.5,8.667,8.958,8.5,10.0,Escola Pública,3,F,Topázio,0
198,0,0,3,2020,5.519,0.0,6.1,5.625,4.5,5.781,6.292,10.0,Escola Pública,6,A,Quartzo,0
199,0,0,1,2020,6.659,6.25,4.8,7.5,7.667,8.125,7.389,5.0,Escola Pública,3,C,Ágata,0
200,0,0,4,2020,7.356,7.917,5.8,7.5,5.667,8.125,8.542,10.0,Escola Pública,4,F,Ametista,0
201,0,0,1,2020,7.719,7.083,9.4,7.5,8.0,7.969,7.417,5.0,Escola Pública,3,L,Ametista,0
202,0,0,2,2020,3.78,0.0,2.9,6.875,0.0,6.458,6.833,5.0,Escola Pública,2,R,Quartzo,0
206,0,0,2,2020,5.216,0.0,4.3,7.5,2.0,7.812,7.125,10.0,Escola Pública,6,B,Quartzo,0
208,0,1,0,2020,7.843,9.0,9.4,7.5,5.0,8.125,7.5,10.0,Escola Pública,2,D,Ametista,0
209,0,0,1,2020,9.075,9.5,10.0,6.25,10.0,10.0,10.0,5.0,Escola Pública,0,H,Topázio,1
210,1,0,3,2020,8.213,10.0,9.1,7.5,5.667,8.542,8.278,10.0,Rede Decisão/União,5,B,Ametista,0
212,0,0,1,2020,6.346,7.417,10.0,4.375,7.0,2.5,2.583,10.0,Escola Pública,0,H,Ágata,0
213,0,0,2,2020,8.082,9.0,9.7,5.0,9.0,8.75,7.833,5.0,Escola Pública,2,P,Ametista,0
215,0,0,1,2020,8.875,9.5,9.3,7.5,10.0,7.812,7.667,10.0,Escola Pública,1,A,Topázio,0
216,1,0,1,2020,5.96,8.75,0.0,5.625,7.4,0.0,0.0,10.0,UNISA,8,A,Quartzo,0
217,0,0,1,2020,8.943,8.0,9.4,7.5,9.5,8.125,9.0,10.0,Escola Pública,1,B,Topázio,1
219,0,0,1,2020,7.832,9.5,7.9,8.75,5.0,8.438,7.917,10.0,Escola Pública,2,M,Ametista,0
222,0,0,1,2020,8.479,9.0,7.8,7.5,9.5,7.188,8.25,10.0,Escola Pública,1,F,Topázio,0
223,0,0,1,2020,6.593,9.0,5.2,6.875,5.0,8.542,8.056,5.0,Escola Pública,1,E,Ágata,0
225,0,0,4,2020,8.846,9.583,9.7,7.5,8.333,8.75,8.278,10.0,Escola Pública,4,B,Topázio,0
226,1,0,2,2020,7.849,8.5,7.4,5.625,7.5,8.125,8.222,10.0,Rede Decisão/União,2,G,Ametista,0
227,0,1,0,2020,5.981,8.75,3.0,7.5,6.333,7.812,6.042,5.0,Escola Pública,3,L,Quartzo,0
229,0,0,1,2020,5.891,7.333,7.8,7.5,0.0,7.917,7.778,5.0,Escola Pública,1,H,Quartzo,0
230,1,0,4,2020,5.005,8.75,6.1,4.375,2.333,5.833,4.611,5.0,Rede Decisão/União,3,G,Quartzo,0
231,0,0,1,2020,5.96,8.333,3.7,5.0,4.333,7.031,6.583,10.0,Escola Pública,6,C,Quartzo,0
235,1,0,1,2020,8.125,8.333,9.0,7.5,7.667,7.5,7.292,10.0,Rede Decisão/União,3,B,Ametista,0
238,0,0,1,2020,6.493,9.0,8.4,5.0,4.0,5.625,7.75,5.0,Escola Pública,2,H,Ágata,0
241,0,0,3,2020,7.285,9.0,8.8,6.25,9.5,2.5,6.75,5.0,Escola Pública,1,G,Ametista,0
242,0,0,2,2020,6.707,9.0,7.4,6.25,5.5,7.188,6.917,5.0,Escola Pública,1,G,Ágata,0
246,0,0,1,2020,7.639,9.5,8.3,6.875,8.0,7.083,7.667,5.0,Escola Pública,1,J,Ametista,0
251,0,0,1,2020,8.576,8.5,8.9,7.5,10.0,7.292,7.333,10.0,Escola Pública,1,N,Topázio,0
259,1,0,1,2020,8.753,9.167,9.1,7.5,7.667,8.75,9.292,10.0,Rede Decisão/União,7,B,Topázio,1
261,0,1,0,2020,7.252,9.167,8.8,7.5,6.333,7.5,7.792,2.5,Escola Pública,3,A,Ágata,0
262,1,0,3,2020,8.221,7.917,9.2,5.0,6.667,9.062,9.25,10.0,Rede Decisão/União,5,F,Ametista,1
263,1,0,4,2020,8.386,9.583,9.5,6.875,6.333,8.958,8.389,10.0,Rede Decisão/União,5,B,Ametista,0
265,0,0,1,2020,7.631,8.75,10.0,6.875,6.0,8.125,7.778,5.0,Escola Pública,4,A,Ametista,0
